variable,variable translated,category,count,prevalence
p20002_i0,,essential thrombocytosis,50,9.957620367715004e-05
p20001_i0,,kaposis sarcoma,5,9.957620367715004e-06
p20001_i0,,retinoblastoma,5,9.957620367715004e-06
p20001_i0,,mesothelioma,5,9.957620367715004e-06
p20002_i0,,dermatopolymyositis,5,9.957620367715004e-06
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Macular degeneration|Other serious eye condition,5,9.957620367715004e-06
p20002_i0,,sclerosing cholangitis,49,9.758467960360704e-05
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Painful gums|Bleeding gums|Toothache|Dentures,49,9.758467960360704e-05
p20002_i0,,lung abscess,48,9.559315553006404e-05
p6148_i0,Eye problems/disorders Eyesight ,Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,48,9.559315553006404e-05
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Bleeding gums|Loose teeth|Toothache|Dentures,48,9.559315553006404e-05
p20001_i0,,nasal cavity cancer,47,9.360163145652104e-05
p20002_i0,,opioid dependency,46,9.161010738297804e-05
p22136,Doctor diagnosed fibrosing alveolitis/unspecified alveolitis Medical information  ,Yes,46,9.161010738297804e-05
p20002_i0,,disorder of adrenal gland,45,8.961858330943505e-05
p20002_i0,,bowen's disease,44,8.762705923589205e-05
p20002_i0,,stevens johnson syndrome,44,8.762705923589205e-05
p20002_i0,,typhoid fever,44,8.762705923589205e-05
p20002_i0,,chronic laryngitis,44,8.762705923589205e-05
p20001_i0,,spinal cord or cranial nerve cancer,43,8.563553516234904e-05
p20002_i0,,hyperaldosteronism/conn's syndrome,43,8.563553516234904e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",43,8.563553516234904e-05
p20001_i0,,other haematological malignancy,42,8.364401108880604e-05
p20001_i0,,metastatic cancer (unknown primary),42,8.364401108880604e-05
p20001_i0,,female genital tract cancer,42,8.364401108880604e-05
p20002_i0,,schistosomiasis/bilharzia,42,8.364401108880604e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Cataract|Macular degeneration,42,8.364401108880604e-05
p20001_i0,,mouth cancer,41,8.165248701526303e-05
p20002_i0,,allergy to nickel,41,8.165248701526303e-05
p20002_i0,,cervical problem,41,8.165248701526303e-05
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Painful gums|Loose teeth|Toothache|Dentures,41,8.165248701526303e-05
p20002_i0,,varicella zoster virus,4,7.966096294172004e-06
p20002_i0,,epicondylitis,4,7.966096294172004e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Cataract|Macular degeneration|Other serious eye condition,4,7.966096294172004e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision|Macular degeneration,4,7.966096294172004e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Macular degeneration|Other serious eye condition,4,7.966096294172004e-06
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Cataract|Macular degeneration,4,7.966096294172004e-06
p20002_i0,,adrenal tumour,40,7.966096294172003e-05
p20002_i0,,retinitis pigmentosa,40,7.966096294172003e-05
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Cataract|Macular degeneration,40,7.966096294172003e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Blood clot in the leg (DVT)|Blood clot in the lung|Emphysema/chronic bronchitis,40,7.966096294172003e-05
p20002_i0,,pleural effusion,39,7.766943886817703e-05
p20002_i0,,varicose ulcer,39,7.766943886817703e-05
p20002_i0,,spinal abscess,39,7.766943886817703e-05
p20002_i0,,mitral stenosis,39,7.766943886817703e-05
p20001_i0,,acute myeloid leukaemia,38,7.567791479463403e-05
p20001_i0,,vaginal cancer,38,7.567791479463403e-05
p6148_i0,Eye problems/disorders Eyesight ,Injury or trauma resulting in loss of vision|Macular degeneration,38,7.567791479463403e-05
p20001_i0,,penis cancer,37,7.368639072109103e-05
p20001_i0,,other cancer of urinary tract,37,7.368639072109103e-05
p20001_i0,,meningeal cancer / malignant meningioma,37,7.368639072109103e-05
p20002_i0,,male infertility,36,7.169486664754803e-05
p20002_i0,,aplastic anaemia,35,6.970334257400503e-05
p20001_i0,,tonsil cancer,33,6.572029442691903e-05
p20002_i0,,fracture sternum,33,6.572029442691903e-05
p20001_i0,,gallbladder/bile duct cancer,32,6.372877035337603e-05
p20002_i0,,other venous/lymphatic disease,31,6.173724627983303e-05
p20002_i0,,benign insulinoma,3,5.974572220629003e-06
p20002_i0,,hepatitis e,3,5.974572220629003e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision|Cataract|Macular degeneration,3,5.974572220629003e-06
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Macular degeneration,3,5.974572220629003e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision|Other serious eye condition,3,5.974572220629003e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,3,5.974572220629003e-06
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Blood clot in the lung|Emphysema/chronic bronchitis|Asthma,30,5.974572220629003e-05
p20002_i0,,dermatomyositis,29,5.775419813274703e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Cataract|Other serious eye condition,29,5.775419813274703e-05
p20002_i0,,antiphospholipid syndrome,27,5.377114998566103e-05
p20002_i0,,respiratory failure,27,5.377114998566103e-05
p20002_i0,,polyartertis nodosa,26,5.177962591211803e-05
p20001_i0,,gum cancer,25,4.978810183857503e-05
p20001_i0,,ear cancer,25,4.978810183857503e-05
p20002_i0,,dengue fever,25,4.978810183857503e-05
p20002_i0,,phaeochromocytoma,25,4.978810183857503e-05
p20001_i0,,adrenal cancer,24,4.7796577765032026e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision,24,4.7796577765032026e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Blood clot in the leg (DVT)|Blood clot in the lung|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",24,4.7796577765032026e-05
p20001_i0,,parathyroid cancer,23,4.580505369148903e-05
p20001_i0,,myelofibrosis or myelodysplasia,23,4.580505369148903e-05
p20002_i0,,bile duct disease,23,4.580505369148903e-05
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,23,4.580505369148903e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Blood clot in the leg (DVT)|Blood clot in the lung|Emphysema/chronic bronchitis|Asthma,23,4.580505369148903e-05
p20001_i0,,salivary gland cancer,22,4.3813529617946025e-05
p20002_i0,,carcinoid syndrome/tumour,22,4.3813529617946025e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Blood clot in the lung|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",22,4.3813529617946025e-05
p20001_i0,,other salivary gland cancer,21,4.182200554440302e-05
p20001_i0,,lip cancer,21,4.182200554440302e-05
p20001_i0,,trachea cancer,2,3.983048147086002e-06
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Macular degeneration|Other serious eye condition,2,3.983048147086002e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Cataract|Macular degeneration|Other serious eye condition,2,3.983048147086002e-06
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Cataract|Macular degeneration|Other serious eye condition,2,3.983048147086002e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Injury or trauma resulting in loss of vision|Macular degeneration,2,3.983048147086002e-06
p20001_i0,,bone metastases / bony secondaries,20,3.983048147086002e-05
p20002_i0,,sick sinus syndrome,20,3.983048147086002e-05
p20002_i0,,empyema,20,3.983048147086002e-05
p20002_i0,,diabetic nephropathy,19,3.7838957397317017e-05
p20002_i0,,iga nephropathy,19,3.7838957397317017e-05
p20002_i0,,bowel / intestinal infarction,19,3.7838957397317017e-05
p20002_i0,,ischaemic stroke,17,3.3855909250231016e-05
p20002_i0,,giardia / giardiasis,17,3.3855909250231016e-05
p20002_i0,,diabetes insipidus,17,3.3855909250231016e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Cataract|Macular degeneration,17,3.3855909250231016e-05
p20001_i0,,oropharynx / oropharyngeal cancer,15,2.987286110314501e-05
p20001_i0,,sinus cancer,14,2.788133702960201e-05
p20001_i0,,appendix cancer,14,2.788133702960201e-05
p20002_i0,,alpha-1 antitrypsin deficiency,14,2.788133702960201e-05
p22141,Doctor diagnosed mesothelioma of the lung Medical information  ,Yes,14,2.788133702960201e-05
p20001_i0,,peripheral nerve/autonomic nerve cancer,13,2.5889812956059013e-05
p20002_i0,,aortic dissection,13,2.5889812956059013e-05
p20002_i0,,aortic aneurysm rupture,13,2.5889812956059013e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Blood clot in the lung|Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",13,2.5889812956059013e-05
p20001_i0,,thymus cancer / malignant thymoma,12,2.3898288882516013e-05
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Cataract|Macular degeneration|Other serious eye condition,12,2.3898288882516013e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision|Cataract,12,2.3898288882516013e-05
p20002_i0,,yellow fever,11,2.190676480897301e-05
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Blood clot in the leg (DVT)|Blood clot in the lung|Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",11,2.190676480897301e-05
p20001_i0,,male genital tract cancer,1,1.991524073543001e-06
p20001_i0,,heart / mediastinum cancer,1,1.991524073543001e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Injury or trauma resulting in loss of vision|Macular degeneration|Other serious eye condition,1,1.991524073543001e-06
p6148_i0,Eye problems/disorders Eyesight ,Injury or trauma resulting in loss of vision|Cataract|Macular degeneration|Other serious eye condition,1,1.991524073543001e-06
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Injury or trauma resulting in loss of vision|Other serious eye condition,1,1.991524073543001e-06
p20002_i0,,pancytopenia,10,1.991524073543001e-05
p20002_i0,,synovitis,10,1.991524073543001e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Other serious eye condition,10,1.991524073543001e-05
p4041_i0, Gestational diabetes only Medical conditions  ,Prefer not to answer,10,1.991524073543001e-05
p20002_i0,,microscopic polyarteritis,9,1.7923716661887008e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Cataract|Other serious eye condition,9,1.7923716661887008e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Macular degeneration,9,1.7923716661887008e-05
p6148_i0,Eye problems/disorders Eyesight ,Injury or trauma resulting in loss of vision|Macular degeneration|Other serious eye condition,9,1.7923716661887008e-05
